"ensembl_gene_id" "entrezgene_id"
"243" "ENSDARG00000096435" NA
"244" "ENSDARG00000078592" 446115
"245" "ENSDARG00000045567" 445172
"246" "ENSDARG00000055837" 557983
"247" "ENSDARG00000104854" 100004682
"248" "ENSDARG00000044298" 445490
"249" "ENSDARG00000040254" 436630
"250" "ENSDARG00000093755" NA
"251" "ENSDARG00000008678" 563511
"252" "ENSDARG00000103471" 799713
"253" "ENSDARG00000035507" 325248
"254" "ENSDARG00000068716" 768297
"255" "ENSDARG00000042520" 553498
"256" "ENSDARG00000101300" 561124
"257" "ENSDARG00000073870" 563198
"258" "ENSDARG00000105582" NA
"259" "ENSDARG00000105269" NA
"260" "ENSDARG00000087032" 324358
"261" "ENSDARG00000091799" 101884201
"262" "ENSDARG00000058022" 677753
"263" "ENSDARG00000038863" 550474
"264" "ENSDARG00000095199" NA
"265" "ENSDARG00000070013" 558970
"266" "ENSDARG00000035540" 553209
"267" "ENSDARG00000091954" 100034634
"268" "ENSDARG00000012987" 246094
"269" "ENSDARG00000097536" NA
"270" "ENSDARG00000056757" NA
"271" "ENSDARG00000062111" 100149732
"272" "ENSDARG00000023479" 562438
"273" "ENSDARG00000071074" 100536575
"274" "ENSDARG00000019207" 563897
"275" "ENSDARG00000093116" 100034504
"276" "ENSDARG00000101345" NA
"277" "ENSDARG00000099773" 100148438
"278" "ENSDARG00000097155" 560896
"279" "ENSDARG00000103713" 323364
"280" "ENSDARG00000032577" 568122
"281" "ENSDARG00000103057" 100333211
"282" "ENSDARG00000102239" NA
"283" "ENSDARG00000093665" NA
"284" "ENSDARG00000075795" 558911
"285" "ENSDARG00000077686" 100534954
"286" "ENSDARG00000060062" NA
"287" "ENSDARG00000092640" NA
"288" "ENSDARG00000089202" 103909013
"289" "ENSDARG00000038543" 334682
"290" "ENSDARG00000062801" 565909
"291" "ENSDARG00000088741" NA
"292" "ENSDARG00000045832" 550232
"293" "ENSDARG00000101845" NA
"294" "ENSDARG00000096757" NA
"295" "ENSDARG00000098144" NA
"296" "ENSDARG00000052088" NA
"297" "ENSDARG00000020618" 550355
"298" "ENSDARG00000045308" 317740
"299" "ENSDARG00000093658" 565343
"300" "ENSDARG00000063451" 555345
"301" "ENSDARG00000097266" NA
"302" "ENSDARG00000104807" 108190743
"303" "ENSDARG00000054975" 796724
"304" "ENSDARG00000077728" 570852
"305" "ENSDARG00000094125" 554779
