id,baseMean,log2FoldChange,pvalue,padj
ENSDARG00000093237,177.8117421,1.072769431,2.48E-06,0.000391433
ENSDARG00000035809,366412.3782,-0.317690769,2.63E-06,0.00041219
ENSDARG00000045580,21321.66144,-0.286781716,2.88E-06,0.000445486
ENSDARG00000005704,1509.937117,0.727769384,2.89E-06,0.000445486
ENSDARG00000075263,1215.819505,-0.837622994,2.91E-06,0.000445668
ENSDARG00000093210,45.63268221,-1.04172586,2.97E-06,NA
ENSDARG00000078419,373.9604032,-0.518885763,3.14E-06,0.000477117
ENSDARG00000075342,8.151341912,-0.970901775,3.15E-06,NA
ENSDARG00000076981,683.9920308,0.582036425,3.28E-06,0.000494482
ENSDARG00000070964,866.1181206,-0.782040331,3.85E-06,0.000576285
ENSDARG00000041220,64.72488202,-0.954077774,3.89E-06,NA
ENSDARG00000087697,3753.226701,0.448984144,3.93E-06,0.000585128
ENSDARG00000044990,545.3737896,0.50104323,3.99E-06,0.000589642
ENSDARG00000005004,300.5305189,0.82406089,4.04E-06,0.000592709
ENSDARG00000067701,1464.116225,-0.52814173,4.09E-06,0.000594664
ENSDARG00000069548,796.4807515,0.407180016,4.12E-06,0.00059524
ENSDARG00000025703,2029.348438,0.548496825,4.50E-06,0.000645691
ENSDARG00000070426,16043.476,0.38926515,4.72E-06,0.000670066
ENSDARG00000009341,8707.356064,-0.400184749,4.74E-06,0.000670066
ENSDARG00000090540,1259.283226,0.518898543,5.07E-06,0.000711934
ENSDARG00000092725,126.9432464,0.877426219,5.11E-06,0.000712769
ENSDARG00000041078,2996.501654,0.47958101,5.38E-06,0.000745281
ENSDARG00000040253,914.2739726,0.930207916,5.57E-06,0.000762908
ENSDARG00000022261,5327.706018,0.646284692,5.58E-06,0.000762908
ENSDARG00000030530,1261.679065,0.720710636,5.89E-06,0.000800383
ENSDARG00000027807,12414.58329,-0.593901148,6.01E-06,0.000811158
ENSDARG00000036036,9192.852286,-0.304202285,6.46E-06,0.000866043
ENSDARG00000013856,10990.47227,0.801139201,6.72E-06,0.000894616
ENSDARG00000007221,1183.128121,-0.352825814,6.82E-06,0.000901828
ENSDARG00000089626,4433.364318,-0.680589927,6.97E-06,0.000916304
ENSDARG00000070012,482.3999764,0.426317498,7.28E-06,0.000950513
ENSDARG00000075270,1232.620473,-0.411874627,7.49E-06,0.00096887
ENSDARG00000060340,1324.751815,0.371810191,7.51E-06,0.00096887
ENSDARG00000075727,364.0625368,0.971508732,8.11E-06,0.001039294
ENSDARG00000077396,1640.793654,0.424296578,8.29E-06,0.001050657
ENSDARG00000052625,4243.570172,-0.312283818,8.30E-06,0.001050657
ENSDARG00000076848,1124.10757,-0.536820783,8.52E-06,0.001070951
ENSDARG00000092627,8.295345358,-0.930292224,8.76E-06,NA
ENSDARG00000079980,691.2338825,0.646607139,8.84E-06,0.001104983
ENSDARG00000089087,711624.1319,0.538862064,9.16E-06,0.001137454
ENSDARG00000042055,615.0243032,0.7136631,9.44E-06,0.001165269
ENSDARG00000004964,1708.247704,0.44516492,9.52E-06,0.001168404
